steam_appid,name,type,initial_price,release_date,score,recommendation,windows,mac,linux,header_image
306520,Ford Street Racing,game,4.99,2014-09-09,,,1.0,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/306520/header.jpg?t=1447362219
306550,Runers,game,9.99,2014-09-02,68.0,214.0,1.0,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/306550/header.jpg?t=1447362225
306620,Frontline : Road to Moscow,game,9.99,2014-08-08,,,1.0,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/306620/header.jpg?t=1478089000
306630,Civil War II,game,39.99,2014-07-03,,110.0,1.0,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/306630/header.jpg?t=1478082309
306640,Battle Academy 2: Eastern Front,game,39.99,2014-09-12,78.0,,1.0,1.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/306640/header.jpg?t=1478079461
306660,Ultimate General: Gettysburg,game,14.99,2014-10-16,84.0,2014.0,1.0,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/306660/header.jpg?t=1478101292
306670,Overlord: Fellowship of Evil,game,18.99,2015-10-19,,351.0,1.0,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/306670/header.jpg?t=1447362234
306680,Lexica,game,2.99,2014-07-04,,257.0,1.0,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/306680/header.jpg?t=1447362234
306700,Iron Fisticle,game,8.99,2014-09-16,,175.0,1.0,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/306700/header.jpg?t=1447362238
306760,Obduction,game,29.99,2016-08-24,76.0,1127.0,1.0,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/306760/header.jpg?t=1481355524
306830,Zombies Monsters Robots (ZMR),game,0.0,2014-09-19,,2441.0,1.0,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/306830/header.jpg?t=1478635184
306930,BattleSpace,game,0.0,2015-01-07,,,1.0,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/306930/header.jpg?t=1447362257
306950,Heroes & Legends: Conquerors of Kolhar,game,9.99,2014-08-21,,,1.0,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/306950/header.jpg?t=1478025576
307010,Northmark: Hour of the Wolf,game,9.99,2014-08-02,,155.0,1.0,1.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/307010/header.jpg?t=1478690381
307030,Fractured Soul,game,9.99,2015-02-05,,,1.0,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/307030/header.jpg?t=1447362260
307050,Shan Gui (山桂),game,1.99,2014-08-19,,2106.0,1.0,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/307050/header.jpg?t=1464363307
307070,Memories of a Vagabond,game,4.99,2014-07-07,,749.0,1.0,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/307070/header.jpg?t=1447362262
307090,Fancy Skulls,game,8.99,2014-06-16,,219.0,1.0,1.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/307090/header.jpg?t=1447362263
307110,We Need to Go Deeper,game,,2016-11-15,,,1.0,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/307110/header.jpg?t=1484578922
307130,Asteria,game,1.99,2014-07-03,,204.0,1.0,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/307130/header.jpg?t=1447362264
307170,Borealis,game,4.99,2014-09-02,,473.0,1.0,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/307170/header.jpg?t=1447362265
307190,Nicole (otome version),game,18.99,2014-07-25,,,1.0,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/307190/header.jpg?t=1447362265
307210,Will Fight for Food: Super Actual Sellout: Game of the Hour,game,5.99,2015-04-22,,,1.0,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/307210/header.jpg?t=1478022008
307230,"I, Zombie",game,1.99,2014-12-08,65.0,1535.0,1.0,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/307230/header.jpg?t=1480347069
307270,Super Lemonade Factory,game,4.99,2014-07-09,,,1.0,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/307270/header.jpg?t=1452734249
307290,Velvet Sundown,game,0.0,2014-07-22,,1954.0,1.0,1.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/307290/header.jpg?t=1447362267
307340,Platypus,game,6.99,2014-08-15,,197.0,1.0,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/307340/header.jpg?t=1447362271
307350,Nux,game,6.99,2014-08-15,,386.0,1.0,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/307350/header.jpg?t=1447362272
307410,Martial Arts: Capoeira,game,4.99,2014-06-12,,,1.0,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/307410/header.jpg?t=1478623089
307430,Othello,game,9.99,2015-03-19,,,1.0,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/307430/header.jpg?t=1470841437
307560,Run For Rum,game,4.99,2014-07-02,,,1.0,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/307560/header.jpg?t=1447362299
307570,A Golden Wake,game,9.99,2014-10-09,68.0,134.0,1.0,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/307570/header.jpg?t=1447362300
307580,Technobabylon,game,14.99,2015-05-01,82.0,461.0,1.0,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/307580/header.jpg?t=1447362300
307590,Penarium,game,9.99,2015-09-22,80.0,206.0,1.0,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/307590/header.jpg?t=1447362302
307600,Chainsaw Warrior: Lords of the Night,game,5.99,2015-02-17,,,1.0,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/307600/header.jpg?t=1464356633
307620,Curses 'N Chaos,game,9.99,2015-08-18,,,1.0,1.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/307620/header.jpg?t=1447362308
307640,Stick RPG 2: Director's Cut,game,19.99,2014-06-16,,325.0,1.0,1.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/307640/header.jpg?t=1453747746
307670,Hard West,game,19.99,2015-11-18,73.0,1051.0,1.0,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/307670/header.jpg?t=1481539564
307690,Sleeping Dogs: Definitive Edition,game,29.99,2014-10-08,,5541.0,1.0,1.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/307690/header.jpg?t=1479335030
307760,Zoo Park,game,4.99,2014-06-13,,173.0,1.0,1.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/307760/header.jpg?t=1480520885
307770,Wildlife Park 2 - Horses,game,3.99,2014-07-17,,,1.0,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/307770/header.jpg?t=1478087563
307780,Mortal Kombat X,game,19.99,2015-04-13,76.0,16876.0,1.0,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/307780/header.jpg?t=1476144418
